Name_English,Name_Wylie_Tibetan,Name_Tibetan,Name_Chinese,Dates,Position_Date,Img_Subtext,Description_English,Description_Tibetan,Description_Chinese,Transmission_Mode,Lineage,Taught,Taught_Familial_Related,Reincarnated_As,Family_Relationship,Emanated as,Links_Names,Links_URLs,Notes
Buddha 2: Cheu Ö Mitrukpa,khye’u ’od mi ’khrugs pa,ཁྱེའུ་འོད་མི་འཁྲུགས་པ།,,,350,,"""The second [of the twelve Dzogchen buddhas] manifested in the environment of our world of sorrow as the teacher Cheu Ö Mitrukpa, who gave a retinue of two hundred thousand ḍākinīs the teachings of the five tantras (enlightened form, speech, mind, qualities, and activities). He spoke the language of Vishnu--known as ""the god with five locks of hair""--a language that arose from the natural sound of the elements interacting due to heat and cold. This took place when humans enjoyed a life span of ten million years"" (NK_Eng_33-34).",གཉིས་པ་གནས་མི་མཇེད་འཇིག་རྟེན་དུ། སྣོན་པ་ཁྱེའུ་འོད་མི་འཁྲུགས་པ། འཁོར་མཁའ་འགྲོ་མ་འབུམ་ཕྲག་གཉེས། བསྟན་པ་སྐ་གསུང་ཐུགས་ཡོན་ཏན་ཕྲིན་ལས་ཀྱི་རྒྱུད་ལྔ། ཐབས་འབྱུང་བ་ཚ་གྲང་གི་རང་སྒྲ་ལས་ཁྱབ་འཇུག་ཟུར་ཕུད་ལྔ་པའི་སྐད་ཀྱིས་གསུངས། དུས་ཚེ་ལོ་བྱེ་བ་གཅིག་ཐུབ་པའི་དུས་ནའོ༎,,Aural,All lineages,Buddha 3: Jampal Jigpa Kyopa,,,,,,,
Buddha 3: Jampal Jigpa Kyopa,’jigs pa skyob pa’i yid,འཇིགས་པ་སྐྱོབ་པའི་ཡིད།,,,375,,"""The third emanation manifested in the environment of a mass of light resulting from the combination of warmth and moisture. The teacher Jampal Jigpa Kyopa addressed a retinue of six hundred thousand bodhisattvas. The teachings of several tantras--Dredging the Pit of Cyclic Existence, Peacocks with Entwined Necks, and The Glorious Resolution of the Four Elements--carried on the gentle murmuring of the wind, fell from the sky and were given after having been translated into the language of the three-tufted garudas. This took place when the life span of humans was one hundred thousand years"" (NK_Eng_34).",ཡང་གསུམ་པ། གནས་དྲོད་གཤེར་འདུས་པ་འོད་ཀྱི་ཕུང་པོར། སྟོན་པ་འཇམ་དཔལ་འཇིགས་པ་སྐྱོབ་པ། འཁོར་བྱང་ཆུབ་སེམས་དཔའ་འབུམ་ཕྲག་དྲུག། བསྟན་པ་འཁོར་བ་དོང་སྤྲུགས་དང་རྨ་བྱ་མཇིང་བསྣོལ་དང་དཔལ་འབྱུང་བཞི་ཟད་པའི་རྒྱུད་བར་སྣང་གི་ཁམས་སུ་བབས་ནས། རླུང་གི་སྒྲ་མར་ཤ་ཤུ་ལས་དྲངས་ཏེ་མཁའ་ལྡིང་ཟུར་ཕུད་གསུམ་པའི་སྐད་ལ་བསྒྱུར་ཏེ་གསུངས་སོ༎ དུས་ཚེ་ལཧ་འབུམ་པའི་དུས་ནའོ༎,,Aural,All lineages,Buddha 4: Zhönnu Rolpa,,,,,,,
Buddha 4: Zhönnu Rolpa,gzhon nu rol pa,གཞོན་ནུ་རོལ་པ།,,,400,,"""The fourth emanation manifested in the environment of a womb, the source of desire and attachment. The teacher Zhönnu Rolpa Nampar Tsewa addressed a retinue of five thousand yaksha spirits and rock demons, giving them the teachings of eleven tantras: five basic tantras of the Category of Mind and six auxiliary tantras. This took place when the life span of humans was eight thousand years"" (NK_Eng_34).",ཡང་བཞི་པ། གནས་འདོད་ཆགས་འབྱུང་བ་མངལ་དུ་སྣང་བར། སྟོན་པ་གཞོན་ནུ།[121]རོལ་པ་རྣམ་པར་རྩེ་བས། འཁོར་གནོད་སྦྱིན་དང་བྲག་སྲིན་སྟོང་ཕྲག་ལྔ་ལ། བསྟན་པ་སེམས་སྡེ་རྩ་བའི་རྒྱུད་ལྔ་དང་། ཡན་ལག་གི་རྒྱུད་དྲུག་སྟེ་བཅུ་གཅིག་གསུངས། དུས་ཚེ་ལོ་བརྒྱད་ཁྲིའི་དུས་ནའོ།,,Aural,All lineages,Buddha 5: Vajradhara,,,,,,,
Buddha 5: Vajradhara,rdo rje ’chang,རྡོ་རྗེ་འཆང།,,,425,,"""The fifth emanation manifested in the environment of the garden of the physician Kumara. The teacher of the sixth buddha family, Vajradhara, addressed a retinue that consisted of the ""seven successive buddhas,"" giving them an immeasurable number of teachings, including those concerning the six transcendent perfections. This took place when the life span of humans was seventy thousand years"" (NK_Eng_34).",ཡང་ལྔ་པ། གནས་འཚོ་བྱེད་གཞོན་ནུའི་ལྡུམ་རར། སྟོན་པ་དྲུག་པ་རྡོ་རྗེ་འཆང་གིས། འཁོར་སངས་རྒྱས་རབས་བདུན་ལ། བསྟན་པ་ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲུག་ལ་སོགས་པ་དཔག་ཏུ་མེད་པ་གསུངས། དུས་ཚེ་ལོ་བདུན་ཁྲིའི་དུས་[122]ནའོ།། ,,Aural,All lineages,Buddha 6: Zhönnu Pawo Tobden Chenpo,,,,,,,
Buddha 6: Zhönnu Pawo Tobden Chenpo,gzhon nu dpa’ bo stobs ldan chen po,གཞོན་ནུ་དཔའ་བོ་སྟོབས་ལྡན་ཆེན་པོ།,,,450,,"""The sixth emanation manifested in the environment of Meri Barwa, the charnel ground of the display of the supreme secret. The teacher Zhönnu Pawo Tobden Chenpo addressed a retinue of seven bodhisattvas, who were described as ""having the strength of clouds,"" giving them the teachings of many classes of tantra--father tantras, mother tantras, and so forth. This took place when the life span of humans was sixty thousand years"" (NK_Eng_34).",ཡང་དྲུག་པ། གནས་གསང་ཆེན་རོལ་པའི་དུར་ཁྲོད་མེ་རི་འབར་བར། སྟོན་པ་གཞོན་ནུ་དཔའ་བོ་སྟོབས་ལྡན་ཆེན་པོས། འཁོར་བྱང་ཆུབ་སེམས་དཔའ་སྤྲིན་གྱི་ཤུགས་ཅན་བདུན་ལ། ཆོས་ཕ་རྒྱུད་མ་རྒྱུད་ལ་སོགས་པའི་རྒྱུད་སྡེ་དུ་མ་གསུངས་སོ༎ དུས་ཚེ་ལོ་དྲུག་ཁྲིའི་དུས་ནའོ༎,,Aural,All lineages,Buddha 7: Drangsong Tröpai Gyalpo,,,,,,,
Buddha 7: Drangsong Tröpai Gyalpo,drang srong khros pa’i rgyal po,དྲང་སྲོངས་ཁྲོས་པའི་རྒྱལ་པོ།,,,475,,"""The seventh emanation manifested in the environment known as Sinpo Rului Dardang Denpa. The teacher Drangsong Tröpai Gyalpo gave a retinue of ten million bloodthirsty demons the teachings of such texts as the ten tantras for guiding wild beings. This took place when the life span of humans was ten thousand years"" (NK_Eng_34-35). ",ཡང་བདུན་པ། གནས་སྲིན་པོ་རུ་ལུའི་སྐྲ་དང་ལྡན་པར། སྟོན་པ་དྲང་སྲོང་ཁྲོས་པའི་རྒྱལ་པོས། འཁོར་སྲིན་པོ་བྱེ་བ་གཅིག་ལ། ཆེས་རགས་པ་འདུལ་བའི་རྒྱུད་བཅུ་ལ་སོགས་པ་བསྟན་ཏོ༎ དུས་ཚེ་ལོ་ཁྲི་པའི་དུས་བནའོ༎,,Aural,All lineages,Buddha 8: Ser-Ö Dampa,,,,,,,
Buddha 8: Ser-Ö Dampa,gser ’od dam pa,གསེར་འོད་དམ་པ།,,,500,,"""The eighth emanation manifested in the environment of Vulture Peak, in the region of Rajgir in India. The teacher, the arhat Ser-Ö Dampa, addressed a retinue consisting of countless spiritually advanced shravakas who were endowed with miraculous powers, giving them tens of thousands of teachings concerning the Vinaya of the sacred dharma. This took place when the life span of humans was five thousand years"" (NK_Eng_35).",ཡང་བརྒྱད་པ། གནས་བྱ་རྒོད་ཕུང་པོའི་རི་རྒྱལ་པོའི་ཁབ་ཏུ། སྟོན་པ་དགྲ་བཅོམ་པ་གསེར་འོད་དམ་པས། འཁོར་འཕགས་པ་ཉན་ཐོས་རྫུ་འཕྲུལ་དང་ལྡན་པ་དཔག་ཏུ་མེད་པ་ལ། ཆོས་དམ་པའི་ཆོས་འདུལ་བ་ཁྲི་ཕྲག་དཔག་ཏུ་མེད་པ་གསུངས་སོ༎ དུས་ཚེ་ལོ་ལྔ་་སྟོང་པའི་དུས་ནའོ༎ ,,Aural,All lineages,Buddha 9: Tsewai Rolpai Lodrö,,,,,,,
Buddha 9: Tsewai Rolpai Lodrö,brtse bas rol pa’i blo gros,བརྩེ་བས་རོལ་པའི་བློ་གྲོས།,,,525,,"""The ninth emanation manifested in the environment of the victorious mansion of the bodhi tree known as Sokpo Yuyi Minmachen. The teacher Tsewai Rolpai Lodrö addressed a retinue of bodhisattvas who had attained the eighth level of realization, giving them teachings on such texts as the seven tantras concerning subtle teachings. This took place when the life span of humans was one thousand years"" (NK_Eng_35).",ཡང་དགུ་པ། གནས་སོག་པ་གཡུ་ཡི་སྨིན་མ་ཅན་བྱང་ཆུབ་ཀྱི་ཤིང་རྣམ་པར་རྒྱལ་བའི་ཁང་པར། སྟོན་པ་བརྩེ་བས་རོལ་པའི་བློ་གྲོས་ཀྱིས། འཁོར་ས་བརྒྱད་པའི་བྱང་ཆུབ་སེམས་དནའ་རྣམས་ལ། [123]ཆོས་འཕྲ་རྒྱུད་བདུན་ལ་སོགས་པ་གསུངས་སོ༎ དུས་ཚེ་ལོ་སྟོང་པའི་དུས་ནའོ༎,,Aural,All lineages,Buddha 10: Kashyapa the Elder,,,,,,,
Buddha 10: Kashyapa the Elder,’od srung bgres po,འོད་སྲུང་བགྲེས་པོ།,,,550,,"""The tenth emanation manifested on Vulture Peak. The teacher Kashyapa the Elder addressed a retinue of seven fully ordained arhats, giving them such sacred teachings as the sutras, the Kriya tantras, and the seventy-five thousand sections of the Anuyoga approach (which is based on explanatory commentaries). This took place when the life span of humans was five hundred years"" (NK_Eng_35).",ཡང་བཅུ་པ་གནས་བྱ་རྒོད་སྤུངས་པར། སྟོན་པ་འོད་སྲུང་བགྲེས་པོས། འཁོར་ཚེ་དང་ལྡན་པ་དགྲ་བཅོམ་པ་བདུན་ལ། དམ་པའི་ཆོས་མདོ་སྡེ་དང་། སྔགས་ཀྲི་ཡ་དང་། ལུང་ཨ་ནུ་ཡོ་གའི་ཆོས་ཁྲི་ཕྲག་ཕྱེད་དང་བརྒྱད་ལ་སོགས་པ་གསུངས་སོ༎ དུས་ཚེ་ལོ་ལྔ་བརྒྱའི་དུས་ནའོ༎,,Aural,All lineages,Buddha 11: Ngöndzok Gyalpo,,,,,,,
Buddha 11: Ngöndzok Gyalpo,mngon rdzogs rgyal po,མངོན་རྫོགས་རྒྱལ་པོ།,,,575,,"""The eleventh emanation manifested in the environment of the vajra seat of Bodh Gaya, the source of enlightenment. The teacher Ngöndzok Gyalpo addressed a retinue of the lords of the three families, transmitting to them only the definitive meaning of the teachings. This occurred when the life span of humans was three hundred years"" (NK_Eng_35).",ཡང་བཅུ་གཅིག་པ། གནས་རྡོ་རྗེ་གདན་བྱང་ཆུབ་འབྱུང་བར། སྟོན་པ་མངོན་རྫོགས་རྒྱལ་པོས། འཁོར་རིགས་གསུམ་མགོན་པོ་ལ། ཆོས་ངེས་པའི་དོན་འབའ་ཞིག་ཏུ་གསུངས་སོ༎ དུས་ཚེ་ལོ་སུམ་བརྒྱ་པའི་དུས་ནའོ༎,,Aural,All lineages,Buddha 12: Śākyamuni Buddha,,,,,,,
Buddha 12: Śākyamuni Buddha,shAkya thub pa,ཤཱཀྱ་ཐུབ་པ།,,6th or 5th century BCE,590,,"""The twelfth emanation manifested in the excellent environment of the garden of Anathapindika. The excellent teacher Śākyamuni taught the excellent dharma to the four groups in his retinue, turning the wheel of the teachings concerning the Four Noble Truths sixteen times. The sixteen topics were impermanence, suffering, emptiness, the nonexistence of the self, causal factors, the origin of suffering, the process of origination, conditionality, the spiritual path, correct reasoning, spiritual attainment, renunciation, the cessation of suffering, the state of peace, the state of perfection, and disengagement from the world. This took place when the life span of humans was one hundred years"" (NK_Eng_35-36). The historical Buddha who lived as a wandering ascetic in South Asia 2500 years ago and attained enlightenment under the bodhi tree. His given name was Siddhartha and his clan name was Gautama.",ཡང་བཅུ་གཉིས་པ། གནས་ཕུན་སུམ་ཚོགས་པ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བར། སྟོན་པ་ཕུན་སུམ་ཚོགས་པ་ཤཱཀྱ་ཐུབ་པས། འཁོར་རྣམ་པ་བཞི་ལ། ཆོས་ཕུན་སུམ་ཚོགས་པ་བདེན་པ་བཞིའི་ཆོས་ཀྱི་འཁོར་ལོ་ལན་བཅུ་གཉིས་སུ་བསྐོར་ཏེ། དེ་ཡང་མི་རྟག་པ་དང་། སྡུག་བསལ་བ་དང་། སྟོང་པ་དང་། བདག་མེད་པ་དང་། རྒྱུ་དང་། ཀུན་འབྱུང་། རབ་སྐྱེ། རྐྱེན་གྱི་རྣམ་པ། ལམ། རིགས་པ།[124]སྒྲུབ་པ། ངེས་འབྱིན། འགོག་པ། ཞི་བ། གྱ་ནོམ་པ། ངེས་འབྱུང་སྟེ་ལན་བཅུ་གཉིས་སུ་བསྐོར་རོ༎ དུས་ཚེ་ལོ་བརྒྱ་པའི་དུས་ནའོ༎,,Aural,All lineages,,,,,,,,
Garab Dorjé,dga' rab rdo rje,དགའ་རབ་རྡོ་རྗེ།,,Date unknown,600,,"Considered an emanation of Vajrapāṇi, born in the region of Dhanakosha in Oḍḍiyana. The 6,400,000 verses of Dzogchen tantras and the three series were primordially present in his mind. Vajrapāṇi appeared to him and granted permission to commit the tantras to writing.",,,Symbolic,All lineages,Mañjuśrimitra;Śrī Siṃha;Ḍākinīs;Vairocana,,,,,Rigpa Wiki,https://www.rigpawiki.org/index.php?title=Garab_Dorje,
Mañjuśrimitra,jam dpal bshes gnyen,འཇམ་དཔལ་བཤེས་གཉེན།,,7th to 8th centuries,650,,"Born in a brahmin family west of Bodh Gaya. Met Garab Dorjé at the charnel ground of Shitavana and remained there for 75 years mastering all teachings. Responsible for dividing the Dzogchen tantras into three categories: Mind, Space, and Pith Instruction Series.",,,Symbolic,Vimalamitra; Vairocana,Śrī Siṃha,,,,,,,
Śrī Siṃha,"dpal gyi seng ge, shrī singha",ཤྲཱི་སིངཧ།,,7th to 8th centuries,700,,"Born in Chinese city Shocham Nakpo. Met Mañjushrimitra at Sosadvipa charnel ground. Divided the most sublime secret texts into four cycles: outer, inner, secret, and most secret unsurpassable. Achieved the luminous body and taught dharma to mamos and ḍākinīs.",,,Symbolic,All lineages,Jñānasūtra;Vimalamitra;Vairocana;Padmasambhava,,,,,,,
Ḍākinīs,mkha' 'gro ma,མཁའ་འགྲོ་མ།,,N/A,700,,"Literally 'sky-goers' from Sanskrit root ḍī meaning to fly. Non-human feminine entities that are protectors and keepers of the Dzogchen teachings, especially important in the Padmasambhava.",,,Symbolic,Padmasambhava,,,,,,,,
Jñānasūtra,ye shes mdo,ཡེ་ཤེས་མདོ།,,8th century,750,,"Born in city of Kamaru in eastern India, contemporary with Vimalamitra. Received the most unsurpassable secret cycle from Śrī Siṃha. Retrieved texts concealed by Śrī Siṃha and went to live in the charnel ground called Bhasing in India.",,,Symbolic,Vimalamitra,Vimalamitra,,,,,,,
Vimalamitra,bi ma la mi tra,བི་མ་ལ་མི་ཏྲ།,,8th century,750,,"Born in city of Langpo Gang in Western India, contemporary with Jñānasūtra. Received complete outer, inner, and secret cycles from Śrī Simha, and later the most unsurpassable secret cycle from Jñānasūtra. Taught five people including King Trisong Detsen and proceeded to Wu Tai Shan in China.",,,Symbolic,Vimalamitra,King Trisong Detsen;Nyang Tingzin Zangpo,,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Vimalamitra/9985,
Vairocana,bai ro tsa na,བཻ་རོ་ཙ་ན།,,8th century,750,,"Born in region of Nyemo Jekar. Following King Trisong Detsen's orders, underwent 507 hardships to reach India and meet Śrī Siṃha. Received empowerments and pith instructions of sixty classes of tantra. Met Garab Dorje and received 6,400,000 verses of Dzogchen tantras.",,,Symbolic,Vairocana,Pang Sang-gyé Gönpo;Yudra Nyingpo,,,,,,,
Pang Sang-gyé Gönpo,spang sang rgyas mgon po,སྤང་སང་རྒྱས་མགོན་པོ།,,8th-9th centuries,775,,"Also known as Pang Mipam Gönpo. Only encountered dharma when very elderly, over age 85. Practiced according to oral transmissions of Vairocana, attaining siddhis and living to over 100 years old.",,,Aural,Vairocana,Ngenlam Jangchub Gyaltsen,,,,,,,
Ngenlam Jangchub Gyaltsen,ngen lam byang chub rgyal mtshan,ངེན་ལམ་བྱང་ཆུབ་རྒྱལ་མཚན།,,9th-10th centuries,800,,Also known as Ralsumpa of Ngenlam in Uru region. Received instructions from Pang Mipam Gönpo and meditated on cliff known as Wa Senggé Drak. Reached 172 years and passed away without leaving physical remains.,,,Aural,Vairocana,Zadam Rinchenyik,,,,,,,
Zadam Rinchenyik,za dam rin chen dbyig,ཟ་དམ་རིན་ཆེན་དབྱིག།,,9th-10th centuries,850,,"Student of Ngenlam from eastern Tibet. After receiving instructions, stayed at same cliff as his guru. Reached age 144 and passed away without leaving physical remains.",,,Aural,Vairocana,Khugyur Salwaichok,,,,,,,
Khugyur Salwaichok,Khu 'gyur gsal ba'i mchog,ཁུ་འགྱུར་གསལ་བའི་མཆོག།,,9th-10th centuries,875,,"From Chongye in Yarlung valley. Received instructions from Zadam Rinchenyik and meditated at Wa Sengge Drak until age 117, passing away without physical remains. Transmitted teachings to multiple disciples including Yudra Nyingpo.",,,Aural,Vairocana,Nyang Jangchub Drak and others,,,,,,,
Nyang Jangchub Drak and others,Nyang byang chub grags,ཉང་བྱང་ཆུབ་གྲགས།,,10th century (approx),950,,Students of Khugyur Salwaichok in the Vairocana lineage.,,,Aural,Vairocana,,,,,,,,
Yudra Nyingpo,g.yu sgra snying po,གཡུ་སྒྲ་སྙིང་པོ།,,10th century,950,,One of twenty-five disciples of Padmasambhava and main disciple of Vairocana. Received Heart Essence teachings from Vairocana.,,,Aural,Vairocana,Aro Yeshe Jungné;Drimé Dashar and others,,,,,,,
Aro Yeshe Jungné,a ro ye shes 'byung gnas,ཨ་རོ་ཡེ་ཤེས་འབྱུང་གནས།,,10th-11th centuries,1050,,Received Heart Essence teachings from Yudra Nyingpo.,,,Aural,Vairocana,Setsün,,,,,,,
Setsün,se btsun,སེ་བཙུན།,,10th-11th centuries,1100,,Received Heart Essence teachings from Aro Yeshe Jungne.,,,Aural,Vairocana,Jangtön Namdak,,,,,,,
Kadampa Deshek,kah dam pa bde gshegs,ཀཿ་ཐོག་པ་དམ་པ་བདེ་གཤེགས།,,1122-1192,1122,,"Born in Belmo, Kham. Received many teachings including Dzogchen Heart Essence from Jangtön Namdak. Founded famous Katok Monastery in 1159. Authored important commentaries to the Gathering of All Intentions Sūtra.",,,Aural,Vairocana,,,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Katokpa-Dampa-Deshek/2589,
Jangtön Namdak,Byang ston rnam dag,བྱང་སྟོན་རྣམ་དག།,,11th-12th centuries,1100,,Received Heart Essence teachings from Setsün.,,,Aural,Vairocana,Kadampa Deshek,,,,,,,
Drimé Dashar and others,,,,10th-11th centuries,1000,,10th-11th century masters and teachers of Longchen Rabjampa,,,Aural,Vimalamitra,Longchen Rabjampa,,,,,,,
Padmasambhava,pad+ma 'byung gnas,པདྨ་འབྱུང་གནས།,,8th century,700,,"Received Mind, Space, and Pith Instruction Series from Śrī Siṃha along with the Seventeen Tantras and eighteenth Tantra of the Sun. Received Padmasambhava empowerments and practiced for three years attaining vajra body. Transmitted eighteen tantras to Yeshe Tsogyel and Heart Essence to Princess Pemasel.",,,Symbolic,Padmasambhava,King Trisong Detsen;Yeshe Tsogyel;Princess Lhacam Pemasel;Karmapa Rangjung Dorjé,,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Padmasambhava/7442,
King Trisong Detsen,khri srong sde btsan,ཁྲི་སྲོང་སྡེ་བཙན།,,8th century,725,,"38th King of Tibet, one of the three dharma kings. Invited Shantarakshita and Padmasambhava to Tibet. Received transmissions from both Padmasambhava and Vimalamitra. Had five wives including Yeshe Tsogyel, and daughter Princess Pemasel.",,,Aural,Vimalamitra; Padmasambhava,,,,,,,,
Yeshe Tsogyel,ye shes mtsho rgyal,ཡེ་ཤེས་མཚོ་རྒྱལ།,,8th century,750,,Born in Chog ro Dringtsam with auspicious mark of double vajra on forehead. Offered to Padmasambhava by King Trisong Detsen. Received profound pith instructions from Padmasambhava and helped commit them to writing. Responsible for burying Padmasambhava's many Treasures.,,,Aural,Padmasambhava,Princess Lhacam Pemasel,,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Yeshe-Tsogyel/10373,
Nyang Tingzin Zangpo,myang ban ting 'dzin bzang po,མྱང་བན་ཏིང་འཛིན་བཟང་པོ།,,8th-9th centuries,800,,"Convinced King Trisong Detsen to invite Vimalamitra to Tibet. Received full transmission from Vimalamitra, then left for China and practiced for 55 years. Hid teachings in Zha Templa with protective seals making them invisible.",,,Aural,Vimalamitra,Bé Lodrö Wangchuk,,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Nyang-Tingzin-Zangpo/P3827,
Bé Lodrö Wangchuk,sbas blo dros dbang phyug,སྦས་བློ་དྲོས་དབང་ཕྱུག།,,9th century,800,,"Born into the Bé clan in Pen Valley, central Tibet. Studied all pith instructions from Nyang Tingzin Zangpo. Practiced at different holy sites and achieved an immutable form of rainbow body that leaves behind no physical residue.",,,Aural,Vimalamitra,Drom Rinchen Bar,,,,,,,
Drom Rinchen Bar,brom ston rin chen 'bar,འབྲོམ་སྟོན་རིན་ཆེན་འབར།,,9th-10th centuries,875,,Born into the Drom clan in central Tibet. Received the oral lineage of the Heart Essence teachings from Bé Lodrö Wangchuk. Practiced at a cliff known as Drakar Tso and other places.,,,Aural,Vimalamitra,Dangma Lhundrup Gyaltsen,,,,,,,
Dangma Lhundrup Gyaltsen,ldang ma lhun grub rgyal mtshan,ལྡང་མ་ལྷུན་གྲུབ་རྒྱལ་མཚན,,10th-11th centuries,1000,,Received complete transmission of oral lineage from Drom Rinchen Bar. Received prophecy from deity Vajrasadhu and revealed manuscripts previously hidden by Nyang Tingzin Zangpo 100 years earlier in the temple of Zha.,,,Aural,Vimalamitra,Chetsun Senggé Wangchuk,,,,,,,
Chetsun Senggé Wangchuk,lce btsun seng ge dbang phyug,ལྕེ་བཙུན་སེང་གེ་དབང་ཕྱུག།,,12th century,1125,,Received all instructions from Dangma Lhundrup Gyaltsen. Copied and re-concealed Treasure manuscripts near Takdra Spring in three places. Had visions of Vimalamitra who gave him complete Heart Essence empowerments and transmissions.,,,Aural,Vimalamitra,Zhangtön Tashi Dorjé,,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Chetsun-Sengge-Wangchuk/TBRC_p0rk1222,
Zhangtön Tashi Dorjé,zhang ston bkra shis rdo rje,ཞང་སྟོན་བཀྲ་ཤིས་རྡོ་རྗེ།,,1097-1167,1150,,"Born in Lado in the region of Yardok Donang. At age 21 in 1117, revealed Treasures buried by Chetsun Wangchuk. In 1121 at age 25, met Chetsun Senggé Wangchuk and received complete transmission of Dzogchen Heart Essence teachings.",,,Aural,Vimalamitra,Nyima Bum,,,,,Treasury of Lives,https://treasuryoflives.org/zh/biographies/view/Gyelwa-Zhangton/P634,
Nyima Bum,zhang mkhas pa nyi ma 'bum,ཞང་མཁས་པ་ཉི་མ་འབུམ།,,1158-1213,1175,,"Son of Zhangtön Tashi Dorjé, born in 1158. Considered an emanation of Vajrapāṇi according to prophecy in the Tantra Beyond Sound. Received Heart Essence of Vimalamitra from his father and composed the commentary Eleven Words and Meanings.",,,Aural,Vimalamitra,Guru Jober,,,,,Treasury of Lives,https://treasuryoflives.org/zh/biographies/view/Nyima-Bum/8912,
Guru Jober,gu ru jo 'ber,གུ་རུ་ཇོ་འབེར།,,1196-1255,1200,,Possible nephew to Nyima Bum. Received the whole Heart Essence transmission from Nyima Bum.,,,Aural,Vimalamitra,Trulzhik Senggé Gyabpa,,,,,Treasury of Lives,https://treasuryoflives.org/zh/biographies/view/Guru-Jober/TBRC_p631,
Trulzhik Senggé Gyabpa,khrul zhig seng ge rgyab pa,འཁྲུལ་ཞིག་སེང་གེ་རྒྱབ་པ།,,13th century,1250,,Born in town of Soge Treng in Yoru region of Tibet. Had numerous pure visions and received vision of Avalokiteśvara at age 13 telling him to practice Dzogchen Heart Essence. Received full teachings from Guru Jober.,,,Aural,Vimalamitra,Melong Dorjé,,,,,Treasury of Lives,https://treasuryoflives.org/zh/biographies/view/Trulzhig-Sengge-Gyabpa/1754,
Melong Dorjé,sgrub chen me long mdo rje,སྒྲུབ་ཆེན་མེ་ལོང་མདོ་རྗེ།,,1243-1303,1275,,Born in upper part of Drak Valley. Studied with many teachers and received Dzogchen Heart Essence from Trulshik Senggé Gyabpa. Traveled to hidden lands and revealed Treasure from Drak Yongdzong known as Melong Heart Essence.,,,Aural,Vimalamitra,Kumārarāja,,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Melong-Dorje/8857,
Kumārarāja,rig 'dzin ku ma rā dza,རིག་འཛིན་ཀུ་མ་རཱ་ཛ།,,1266-1343,1300,,Born in town Barsar Dzinkha in Yoru region. Met Melong Dorje who introduced him to the nature of mind. Served as Melong Dorjé's attendant in Bhutan and had vision of Padmasambhava. Transmitted teachings to disciples Longchenpa and Karmapa Rangjung Dorjé.,,,Aural,Vimalamitra,Longchen Rabjampa;Karmapa Rangjung Dorjé,,,,,,,
Longchen Rabjampa,klong chen rab 'byams,ཀློང་ཆེན་རབ་འབྱམས།,,1308-1364,1325,,Born in Todtrong village in Upper Dra valley in Yoru. Met Rigzin Kumārarāja around age 25 and received Heart Essence teachings. Claimed to have had visions of ḍākinīs authenticating his identity as reincarnation of Pema Ledrelstel and Princess Pemasel.,,,Aural,All lineages,Orgyen Chöjé;Guru Ösel Rangdrol;Tulku Paljor Gyaltsen;Dokhampa Dengom Chödrak Zangpo;Rigzin Gödem;Jadralwa Zöpa;Khenchen Chabdal Lhundrup;Khedrup Delek Gyatso;Takok Jadral Chöjé Tashi Jungné,,Rigdzin Pema Lingpa,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Longchenpa-Drime-Wozer/2882,
Orgyen Chöjé,o rgya chos rje,ཨོ་རྒྱན་ཆོས་རྗེ།,,14th century,1350,,14th century student of Longchen Rabjampa,,,Aural,All lineages,,,,,,,,
Guru Ösel Rangdrol,od gsal rang grol,འོད་གསལ་རང་གྲོལ།,,14th century,1350,,14th century student of Longchen Rabjampa,,,Aural,All lineages,,,,,,,,
Tulku Paljor Gyaltsen,sprul sku dpal 'byor rgyal mtshan,སྤྲུལ་སྐུ་དཔལ་འབྱོར་རྒྱལ་མཚན,,14th century,1350,,14th century student of Longchen Rabjampa,,,Aural,All lineages,,,,,,,,
Dokhampa Dengom Chödrak Zangpo,,,,14th century,1350,,14th century student of Longchen Rabjampa,,,Aural,All lineages,,,,,,,,
Princess Lhacam Pemasel,lha lcam pad+ma gsal,ལྷ་ལྕམ་པདྨ་གསལ།,,8th century,775,,Daughter of King Trisong Detsen who died at age 8 due to karmic obstacles. Revived by Padmasambhava who gave her secret name Pema Ledreltsel and transmitted Padmasambhavas to her. Prophesied to re-reveal this Treasure in future life.,,,Aural,Padmasambhava,,,Pema Ledreltsel/Tsultrim Dorjé,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Princess-Pemasel/TBRC_P2JM172,
